Preferred MIME Name,Name,MIBenum,Source,Reference,Aliases,Note
,ISO_10367-box,96,"[ISO-IR: International Register of Escape Sequences]
        Note: The current registration authority is IPSJ/ITSCJ, Japan.",[RFC1345][Keld_Simonsen],"iso-ir-155
csISO10367Box",
,latin-lap,97,"[ISO-IR: International Register of Escape Sequences]
        Note: The current registration authority is IPSJ/ITSCJ, Japan.",[RFC1345][Keld_Simonsen],"lap
iso-ir-158
csISO158Lap",
,JIS_X0212-1990,98,"[ISO-IR: International Register of Escape Sequences]
        Note: The current registration authority is IPSJ/ITSCJ, Japan.",[RFC1345][Keld_Simonsen],"x0212
iso-ir-159
csISO159JISX02121990",
,DS_2089,99,"Danish Standard, DS 2089, February 1974",[RFC1345][Keld_Simonsen],"DS2089
ISO646-DK
dk
csISO646Danish",
,us-dk,100,,[RFC1345][Keld_Simonsen],csUSDK,
,dk-us,101,,[RFC1345][Keld_Simonsen],csDKUS,
,KSC5636,102,,[RFC1345][Keld_Simonsen],"ISO646-KR
csKSC5636",
,UNICODE-1-1-UTF-7,103,[RFC1642],[RFC1642],csUnicode11UTF7,
,ISO-2022-CN,104,[RFC1922],[RFC1922],csISO2022CN,
,ISO-2022-CN-EXT,105,[RFC1922],[RFC1922],csISO2022CNEXT,
,UTF-8,106,[RFC3629],[RFC3629],csUTF8,
,ISO-8859-13,109,ISO See [http://www.iana.org/assignments/charset-reg/ISO-8859-13][Vladas_Tumasonis],,csISO885913,
,ISO-8859-14,110,ISO See [http://www.iana.org/assignments/charset-reg/ISO-8859-14] [Keld_Simonsen_2],,"iso-ir-199
ISO_8859-14:1998
ISO_8859-14
latin8
iso-celtic
l8
csISO885914",
,ISO-8859-15,111,"ISO
Please see: [http://www.iana.org/assignments/charset-reg/ISO-8859-15]",,"ISO_8859-15
Latin-9
csISO885915",
,ISO-8859-16,112,ISO,,"iso-ir-226
ISO_8859-16:2001
ISO_8859-16
latin10
l10
csISO885916",
,GBK,113,"Chinese IT Standardization Technical Committee
Please see: [http://www.iana.org/assignments/charset-reg/GBK]",,"CP936
MS936
windows-936
csGBK",
,GB18030,114,"Chinese IT Standardization Technical Committee
Please see: [http://www.iana.org/assignments/charset-reg/GB18030]",,csGB18030,
,OSD_EBCDIC_DF04_15,115,"Fujitsu-Siemens standard mainframe EBCDIC encoding
Please see: [http://www.iana.org/assignments/charset-reg/OSD-EBCDIC-DF04-15]",,csOSDEBCDICDF0415,
,OSD_EBCDIC_DF03_IRV,116,"Fujitsu-Siemens standard mainframe EBCDIC encoding
Please see: [http://www.iana.org/assignments/charset-reg/OSD-EBCDIC-DF03-IRV]",,csOSDEBCDICDF03IRV,
,OSD_EBCDIC_DF04_1,117,"Fujitsu-Siemens standard mainframe EBCDIC encoding
Please see: [http://www.iana.org/assignments/charset-reg/OSD-EBCDIC-DF04-1]",,csOSDEBCDICDF041,
,ISO-11548-1,118,See [http://www.iana.org/assignments/charset-reg/ISO-11548-1]            [Samuel_Thibault],,"ISO_11548-1
ISO_TR_11548-1
csISO115481",
,KZ-1048,119,See [http://www.iana.org/assignments/charset-reg/KZ-1048]      [Sairan_M_Kikkarin][Alexei_Veremeev],,"STRK1048-2002
RK1048
csKZ1048",
,ISO-10646-UCS-2,1000,"the 2-octet Basic Multilingual Plane, aka Unicode
this needs to specify network byte order: the standard
does not specify (it is a 16-bit integer space)",,csUnicode,
