Preferred MIME Name,Name,MIBenum,Source,Reference,Aliases,Note
,Ventura-US,2006,"Ventura US.  ASCII plus characters typically used in
publishing, like pilcrow, copyright, registered, trade mark,
section, dagger, and double dagger in the range A0 (hex)
to FF (hex).
PCL Symbol Set id: 14J","[Hewlett-Packard Company, ""HP PCL 5 Comparison Guide"",
(P/N 5021-0329) pp B-13, 1996.]",csVenturaUS,
,Ventura-International,2007,"Ventura International.  ASCII plus coded characters similar
to Roman8.
PCL Symbol Set id: 13J","[Hewlett-Packard Company, ""HP PCL 5 Comparison Guide"",
(P/N 5021-0329) pp B-13, 1996.]",csVenturaInternational,
,DEC-MCS,2008,"VAX/VMS User's Manual,
Order Number: AI-Y517A-TE, April 1986.",[RFC1345][Keld_Simonsen],"dec
csDECMCS",
,IBM850,2009,"IBM NLS RM Vol2 SE09-8002-01, March 1990",[RFC1345][Keld_Simonsen],"cp850
850
csPC850Multilingual",
,PC8-Danish-Norwegian,2012,"PC Danish Norwegian
8-bit PC set for Danish Norwegian
PCL Symbol Set id: 11U","[Hewlett-Packard Company, ""HP PCL 5 Comparison Guide"",
(P/N 5021-0329) pp B-13, 1996.]",csPC8DanishNorwegian,
,IBM862,2013,"IBM NLS RM Vol2 SE09-8002-01, March 1990",[RFC1345][Keld_Simonsen],"cp862
862
csPC862LatinHebrew",
,PC8-Turkish,2014,PC Latin Turkish.  PCL Symbol Set id: 9T,"[Hewlett-Packard Company, ""HP PCL 5 Comparison Guide"",
(P/N 5021-0329) pp B-13, 1996.]",csPC8Turkish,
,IBM-Symbols,2015,"Presentation Set, CPGID: 259","[IBM Corporation, ""ABOUT TYPE: IBM's Technical Reference
for Core Interchange Digitized Type"", Publication number
S544-3708-01]",csIBMSymbols,
,IBM-Thai,2016,"Presentation Set, CPGID: 838","[IBM Corporation, ""ABOUT TYPE: IBM's Technical Reference
for Core Interchange Digitized Type"", Publication number
S544-3708-01]",csIBMThai,
,HP-Legal,2017,"PCL 5 Comparison Guide, Hewlett-Packard,
HP part number 5961-0510, October 1992
PCL Symbol Set id: 1U","[Hewlett-Packard Company, ""HP PCL 5 Comparison Guide"",
(P/N 5021-0329) pp B-13, 1996.]",csHPLegal,
,HP-Pi-font,2018,"PCL 5 Comparison Guide, Hewlett-Packard,
HP part number 5961-0510, October 1992
PCL Symbol Set id: 15U","[Hewlett-Packard Company, ""HP PCL 5 Comparison Guide"",
(P/N 5021-0329) pp B-13, 1996.]",csHPPiFont,
,HP-Math8,2019,"PCL 5 Comparison Guide, Hewlett-Packard,
HP part number 5961-0510, October 1992
PCL Symbol Set id: 8M","[Hewlett-Packard Company, ""HP PCL 5 Comparison Guide"",
(P/N 5021-0329) pp B-13, 1996.]",csHPMath8,
,Adobe-Symbol-Encoding,2020,"PostScript Language Reference Manual
PCL Symbol Set id: 5M","[Adobe Systems Incorporated, PostScript Language Reference
Manual, second edition, Addison-Wesley Publishing Company,
Inc., 1990.]",csHPPSMath,
,HP-DeskTop,2021,"PCL 5 Comparison Guide, Hewlett-Packard,
HP part number 5961-0510, October 1992
PCL Symbol Set id: 7J","[Hewlett-Packard Company, ""HP PCL 5 Comparison Guide"",
(P/N 5021-0329) pp B-13, 1996.]",csHPDesktop,
,Ventura-Math,2022,"PCL 5 Comparison Guide, Hewlett-Packard,
HP part number 5961-0510, October 1992
PCL Symbol Set id: 6M","[Hewlett-Packard Company, ""HP PCL 5 Comparison Guide"",
(P/N 5021-0329) pp B-13, 1996.]",csVenturaMath,
,Microsoft-Publishing,2023,"PCL 5 Comparison Guide, Hewlett-Packard,
HP part number 5961-0510, October 1992
PCL Symbol Set id: 6J","[Hewlett-Packard Company, ""HP PCL 5 Comparison Guide"",
(P/N 5021-0329) pp B-13, 1996.]",csMicrosoftPublishing,
,Windows-31J,2024,"Windows Japanese.  A further extension of Shift_JIS
to include NEC special characters (Row 13), NEC
selection of IBM extensions (Rows 89 to 92), and IBM
extensions (Rows 115 to 119).  The CCS's are
JIS X0201:1997, JIS X0208:1997, and these extensions.
This charset can be used for the top-level media type ""text"",
but it is of limited or specialized use (see [RFC2278]).
PCL Symbol Set id: 19K",,csWindows31J,
GB2312,GB2312,2025,"Chinese for People's Republic of China (PRC) mixed one byte,
two byte set:
20-7E = one byte ASCII
A1-FE = two byte PRC Kanji
See GB 2312-80
PCL Symbol Set Id: 18C",,csGB2312,
Big5,Big5,2026,"Chinese for Taiwan Multi-byte set.
PCL Symbol Set Id: 18T",,csBig5,
,macintosh,2027,"The Unicode Standard ver1.0, ISBN 0-201-56788-1, Oct 1991",[RFC1345][Keld_Simonsen],"mac
csMacintosh",
,IBM037,2028,"IBM NLS RM Vol2 SE09-8002-01, March 1990",[RFC1345][Keld_Simonsen],"cp037
ebcdic-cp-us
ebcdic-cp-ca
ebcdic-cp-wt
ebcdic-cp-nl
csIBM037",
,IBM038,2029,"IBM 3174 Character Set Ref, GA27-3831-02, March 1990",[RFC1345][Keld_Simonsen],"EBCDIC-INT
cp038
csIBM038",
,IBM273,2030,"IBM NLS RM Vol2 SE09-8002-01, March 1990",[RFC1345][Keld_Simonsen],"CP273
csIBM273",
,IBM274,2031,"IBM 3174 Character Set Ref, GA27-3831-02, March 1990",[RFC1345][Keld_Simonsen],"EBCDIC-BE
CP274
csIBM274",
,IBM275,2032,"IBM NLS RM Vol2 SE09-8002-01, March 1990",[RFC1345][Keld_Simonsen],"EBCDIC-BR
cp275
csIBM275",
,IBM277,2033,"IBM NLS RM Vol2 SE09-8002-01, March 1990",[RFC1345][Keld_Simonsen],"EBCDIC-CP-DK
EBCDIC-CP-NO
csIBM277",
,IBM278,2034,"IBM NLS RM Vol2 SE09-8002-01, March 1990",[RFC1345][Keld_Simonsen],"CP278
ebcdic-cp-fi
ebcdic-cp-se
csIBM278",
,IBM280,2035,"IBM NLS RM Vol2 SE09-8002-01, March 1990",[RFC1345][Keld_Simonsen],"CP280
ebcdic-cp-it
csIBM280",
,IBM281,2036,"IBM 3174 Character Set Ref, GA27-3831-02, March 1990",[RFC1345][Keld_Simonsen],"EBCDIC-JP-E
cp281
csIBM281",
,IBM284,2037,"IBM NLS RM Vol2 SE09-8002-01, March 1990",[RFC1345][Keld_Simonsen],"CP284
ebcdic-cp-es
csIBM284",
,IBM285,2038,"IBM NLS RM Vol2 SE09-8002-01, March 1990",[RFC1345][Keld_Simonsen],"CP285
ebcdic-cp-gb
csIBM285",
,IBM290,2039,"IBM 3174 Character Set Ref, GA27-3831-02, March 1990",[RFC1345][Keld_Simonsen],"cp290
EBCDIC-JP-kana
csIBM290",
,IBM297,2040,"IBM NLS RM Vol2 SE09-8002-01, March 1990",[RFC1345][Keld_Simonsen],"cp297
ebcdic-cp-fr
csIBM297",
,IBM420,2041,"IBM NLS RM Vol2 SE09-8002-01, March 1990,
IBM NLS RM p 11-11",[RFC1345][Keld_Simonsen],"cp420
ebcdic-cp-ar1
csIBM420",
,IBM423,2042,"IBM NLS RM Vol2 SE09-8002-01, March 1990",[RFC1345][Keld_Simonsen],"cp423
ebcdic-cp-gr
csIBM423",
,IBM424,2043,"IBM NLS RM Vol2 SE09-8002-01, March 1990",[RFC1345][Keld_Simonsen],"cp424
ebcdic-cp-he
csIBM424",
,IBM437,2011,"IBM NLS RM Vol2 SE09-8002-01, March 1990",[RFC1345][Keld_Simonsen],"cp437
437
csPC8CodePage437",
,IBM500,2044,"IBM NLS RM Vol2 SE09-8002-01, March 1990",[RFC1345][Keld_Simonsen],"CP500
ebcdic-cp-be
ebcdic-cp-ch
csIBM500",
,IBM851,2045,"IBM NLS RM Vol2 SE09-8002-01, March 1990",[RFC1345][Keld_Simonsen],"cp851
851
csIBM851",
,IBM852,2010,"IBM NLS RM Vol2 SE09-8002-01, March 1990",[RFC1345][Keld_Simonsen],"cp852
852
csPCp852",
,IBM855,2046,"IBM NLS RM Vol2 SE09-8002-01, March 1990",[RFC1345][Keld_Simonsen],"cp855
855
csIBM855",
,IBM857,2047,"IBM NLS RM Vol2 SE09-8002-01, March 1990",[RFC1345][Keld_Simonsen],"cp857
857
csIBM857",
,IBM860,2048,"IBM NLS RM Vol2 SE09-8002-01, March 1990",[RFC1345][Keld_Simonsen],"cp860
860
csIBM860",
,IBM861,2049,"IBM NLS RM Vol2 SE09-8002-01, March 1990",[RFC1345][Keld_Simonsen],"cp861
861
cp-is
csIBM861",
,IBM863,2050,"IBM Keyboard layouts and code pages, PN 07G4586 June 1991",[RFC1345][Keld_Simonsen],"cp863
863
csIBM863",
,IBM864,2051,"IBM Keyboard layouts and code pages, PN 07G4586 June 1991",[RFC1345][Keld_Simonsen],"cp864
csIBM864",
,IBM865,2052,"IBM DOS 3.3 Ref (Abridged), 94X9575 (Feb 1987)",[RFC1345][Keld_Simonsen],"cp865
865
csIBM865",
,IBM868,2053,"IBM NLS RM Vol2 SE09-8002-01, March 1990",[RFC1345][Keld_Simonsen],"CP868
cp-ar
csIBM868",
,IBM869,2054,"IBM Keyboard layouts and code pages, PN 07G4586 June 1991",[RFC1345][Keld_Simonsen],"cp869
869
cp-gr
csIBM869",
,IBM870,2055,"IBM NLS RM Vol2 SE09-8002-01, March 1990",[RFC1345][Keld_Simonsen],"CP870
ebcdic-cp-roece
ebcdic-cp-yu
csIBM870",
,IBM871,2056,"IBM NLS RM Vol2 SE09-8002-01, March 1990",[RFC1345][Keld_Simonsen],"CP871
ebcdic-cp-is
csIBM871",
,IBM880,2057,"IBM NLS RM Vol2 SE09-8002-01, March 1990",[RFC1345][Keld_Simonsen],"cp880
EBCDIC-Cyrillic
csIBM880",
,IBM891,2058,"IBM NLS RM Vol2 SE09-8002-01, March 1990",[RFC1345][Keld_Simonsen],"cp891
csIBM891",
,IBM903,2059,"IBM NLS RM Vol2 SE09-8002-01, March 1990",[RFC1345][Keld_Simonsen],"cp903
csIBM903",
,IBM904,2060,"IBM NLS RM Vol2 SE09-8002-01, March 1990",[RFC1345][Keld_Simonsen],"cp904
904
csIBBM904",
,IBM905,2061,"IBM 3174 Character Set Ref, GA27-3831-02, March 1990",[RFC1345][Keld_Simonsen],"CP905
ebcdic-cp-tr
csIBM905",
,IBM918,2062,"IBM NLS RM Vol2 SE09-8002-01, March 1990",[RFC1345][Keld_Simonsen],"CP918
ebcdic-cp-ar2
csIBM918",
,IBM1026,2063,"IBM NLS RM Vol2 SE09-8002-01, March 1990",[RFC1345][Keld_Simonsen],"CP1026
csIBM1026",
,EBCDIC-AT-DE,2064,"IBM 3270 Char Set Ref Ch 10, GA27-2837-9, April 1987",[RFC1345][Keld_Simonsen],csIBMEBCDICATDE,
,EBCDIC-AT-DE-A,2065,"IBM 3270 Char Set Ref Ch 10, GA27-2837-9, April 1987",[RFC1345][Keld_Simonsen],csEBCDICATDEA,
,EBCDIC-CA-FR,2066,"IBM 3270 Char Set Ref Ch 10, GA27-2837-9, April 1987",[RFC1345][Keld_Simonsen],csEBCDICCAFR,
,EBCDIC-DK-NO,2067,"IBM 3270 Char Set Ref Ch 10, GA27-2837-9, April 1987",[RFC1345][Keld_Simonsen],csEBCDICDKNO,
,EBCDIC-DK-NO-A,2068,"IBM 3270 Char Set Ref Ch 10, GA27-2837-9, April 1987",[RFC1345][Keld_Simonsen],csEBCDICDKNOA,
,EBCDIC-FI-SE,2069,"IBM 3270 Char Set Ref Ch 10, GA27-2837-9, April 1987",[RFC1345][Keld_Simonsen],csEBCDICFISE,
,EBCDIC-FI-SE-A,2070,"IBM 3270 Char Set Ref Ch 10, GA27-2837-9, April 1987",[RFC1345][Keld_Simonsen],csEBCDICFISEA,
,EBCDIC-FR,2071,"IBM 3270 Char Set Ref Ch 10, GA27-2837-9, April 1987",[RFC1345][Keld_Simonsen],csEBCDICFR,
,EBCDIC-IT,2072,"IBM 3270 Char Set Ref Ch 10, GA27-2837-9, April 1987",[RFC1345][Keld_Simonsen],csEBCDICIT,
,EBCDIC-PT,2073,"IBM 3270 Char Set Ref Ch 10, GA27-2837-9, April 1987",[RFC1345][Keld_Simonsen],csEBCDICPT,
,EBCDIC-ES,2074,"IBM 3270 Char Set Ref Ch 10, GA27-2837-9, April 1987",[RFC1345][Keld_Simonsen],csEBCDICES,
,EBCDIC-ES-A,2075,"IBM 3270 Char Set Ref Ch 10, GA27-2837-9, April 1987",[RFC1345][Keld_Simonsen],csEBCDICESA,
,EBCDIC-ES-S,2076,"IBM 3270 Char Set Ref Ch 10, GA27-2837-9, April 1987",[RFC1345][Keld_Simonsen],csEBCDICESS,
,EBCDIC-UK,2077,"IBM 3270 Char Set Ref Ch 10, GA27-2837-9, April 1987",[RFC1345][Keld_Simonsen],csEBCDICUK,
,EBCDIC-US,2078,"IBM 3270 Char Set Ref Ch 10, GA27-2837-9, April 1987",[RFC1345][Keld_Simonsen],csEBCDICUS,
,UNKNOWN-8BIT,2079,,[RFC1428],csUnknown8BiT,
,MNEMONIC,2080,"[RFC1345], also known as ""mnemonic+ascii+38""",[RFC1345][Keld_Simonsen],csMnemonic,
,MNEM,2081,"[RFC1345], also known as ""mnemonic+ascii+8200""",[RFC1345][Keld_Simonsen],csMnem,
,VISCII,2082,[RFC1456],[RFC1456],csVISCII,
,VIQR,2083,[RFC1456],[RFC1456],csVIQR,
KOI8-R,KOI8-R,2084,"[RFC1489], based on GOST-19768-74, ISO-6937/8,
INIS-Cyrillic, ISO-5427.",[RFC1489],csKOI8R,
,HZ-GB-2312,2085,"[RFC1842], [RFC1843][RFC1843][RFC1842]",,,
,IBM866,2086,IBM NLDG Volume 2 (SE09-8002-03) August 1994,[Rick_Pond],"cp866
866
csIBM866",
,IBM775,2087,"HP PCL 5 Comparison Guide (P/N 5021-0329) pp B-13, 1996","[Hewlett-Packard Company, ""HP PCL 5 Comparison Guide"",
(P/N 5021-0329) pp B-13, 1996.]","cp775
csPC775Baltic",
,KOI8-U,2088,[RFC2319],[RFC2319],csKOI8U,
,IBM00858,2089,IBM See [http://www.iana.org/assignments/charset-reg/IBM00858]    [Tamer_Mahdi],,"CCSID00858
CP00858
PC-Multilingual-850+euro
csIBM00858",
,IBM00924,2090,IBM See [http://www.iana.org/assignments/charset-reg/IBM00924]    [Tamer_Mahdi],,"CCSID00924
CP00924
ebcdic-Latin9--euro
csIBM00924",
,IBM01140,2091,IBM See [http://www.iana.org/assignments/charset-reg/IBM01140]    [Tamer_Mahdi],,"CCSID01140
CP01140
ebcdic-us-37+euro
csIBM01140",
,IBM01141,2092,IBM See [http://www.iana.org/assignments/charset-reg/IBM01141]    [Tamer_Mahdi],,"CCSID01141
CP01141
ebcdic-de-273+euro
csIBM01141",
,IBM01142,2093,IBM See [http://www.iana.org/assignments/charset-reg/IBM01142]    [Tamer_Mahdi],,"CCSID01142
CP01142
ebcdic-dk-277+euro
ebcdic-no-277+euro
csIBM01142",
,IBM01143,2094,IBM See [http://www.iana.org/assignments/charset-reg/IBM01143]    [Tamer_Mahdi],,"CCSID01143
CP01143
ebcdic-fi-278+euro
ebcdic-se-278+euro
csIBM01143",
,IBM01144,2095,IBM See [http://www.iana.org/assignments/charset-reg/IBM01144]    [Tamer_Mahdi],,"CCSID01144
CP01144
ebcdic-it-280+euro
csIBM01144",
,IBM01145,2096,IBM See [http://www.iana.org/assignments/charset-reg/IBM01145]    [Tamer_Mahdi],,"CCSID01145
CP01145
ebcdic-es-284+euro
csIBM01145",
,IBM01146,2097,IBM See [http://www.iana.org/assignments/charset-reg/IBM01146]    [Tamer_Mahdi],,"CCSID01146
CP01146
ebcdic-gb-285+euro
csIBM01146",
,IBM01147,2098,IBM See [http://www.iana.org/assignments/charset-reg/IBM01147]    [Tamer_Mahdi],,"CCSID01147
CP01147
ebcdic-fr-297+euro
csIBM01147",
,IBM01148,2099,IBM See [http://www.iana.org/assignments/charset-reg/IBM01148]    [Tamer_Mahdi],,"CCSID01148
CP01148
ebcdic-international-500+euro
csIBM01148",
,IBM01149,2100,IBM See [http://www.iana.org/assignments/charset-reg/IBM01149]    [Tamer_Mahdi],,"CCSID01149
CP01149
ebcdic-is-871+euro
csIBM01149",
,Big5-HKSCS,2101,See [http://www.iana.org/assignments/charset-reg/Big5-HKSCS],[Nicky_Yick],csBig5HKSCS,
,IBM1047,2102,"IBM1047 (EBCDIC Latin 1/Open Systems)
[http://www-1.ibm.com/servers/eserver/iseries/software/globalization/pdf/cp01047z.pdf]",[Reuel_Robrigado],"IBM-1047
csIBM1047",
,PTCP154,2103,See [http://www.iana.org/assignments/charset-reg/PTCP154],[Alexander_Uskov],"csPTCP154
PT154
CP154
Cyrillic-Asian",
,Amiga-1251,2104,See [http://www.amiga.ultranet.ru/Amiga-1251.html],,"Ami1251
Amiga1251
Ami-1251
csAmiga1251
(Aliases are provided for historical reasons and should not be used) [Malyshev]",
,KOI7-switched,2105,See [http://www.iana.org/assignments/charset-reg/KOI7-switched],,csKOI7switched,
,BRF,2106,See [http://www.iana.org/assignments/charset-reg/BRF]                    [Samuel_Thibault],,csBRF,
,TSCII,2107,See [http://www.iana.org/assignments/charset-reg/TSCII]           [Kuppuswamy_Kalyanasu],,csTSCII,
,CP51932,2108,See [http://www.iana.org/assignments/charset-reg/CP51932]                  [Yui_Naruse],,csCP51932,
,windows-874,2109,See [http://www.iana.org/assignments/charset-reg/windows-874]              [Shawn_Steele],,cswindows874,
,windows-1250,2250,Microsoft  [http://www.iana.org/assignments/charset-reg/windows-1250] [Katya_Lazhintseva],,cswindows1250,
,windows-1251,2251,Microsoft  [http://www.iana.org/assignments/charset-reg/windows-1251] [Katya_Lazhintseva],,cswindows1251,
,windows-1252,2252,Microsoft  [http://www.iana.org/assignments/charset-reg/windows-1252]       [Chris_Wendt],,cswindows1252,
,windows-1253,2253,Microsoft  [http://www.iana.org/assignments/charset-reg/windows-1253] [Katya_Lazhintseva],,cswindows1253,
,windows-1254,2254,Microsoft  [http://www.iana.org/assignments/charset-reg/windows-1254] [Katya_Lazhintseva],,cswindows1254,
,windows-1255,2255,Microsoft  [http://www.iana.org/assignments/charset-reg/windows-1255] [Katya_Lazhintseva],,cswindows1255,
,windows-1256,2256,Microsoft  [http://www.iana.org/assignments/charset-reg/windows-1256] [Katya_Lazhintseva],,cswindows1256,
,windows-1257,2257,Microsoft  [http://www.iana.org/assignments/charset-reg/windows-1257] [Katya_Lazhintseva],,cswindows1257,
,windows-1258,2258,Microsoft  [http://www.iana.org/assignments/charset-reg/windows-1258] [Katya_Lazhintseva],,cswindows1258,
,TIS-620,2259,Thai Industrial Standards Institute (TISI)                             [Trin_Tantsetthi],,"csTIS620
ISO-8859-11",
,CP50220,2260,See [http://www.iana.org/assignments/charset-reg/CP50220]                  [Yui_Naruse],,csCP50220,
